symbol,publishedDate,title,image,site,text,url
IEX,2024-04-24 13:48:08,IDEX Corporation (IEX) Q1 2024 Earnings Call Transcript,https://cdn.snapi.dev/images/v1/e/c/transcript43-2389073.jpg,Seeking Alpha,"IDEX Corporation (NYSE:IEX ) Q1 2024 Earnings Conference Call April 24, 2024 10:30 AM ET Company Participants Wendy Palacios – Vice President-FP&A and Investor Relations Eric Ashleman – Chief Executive Officer and President Abhi Khandelwal – Senior Vice President and Chief Financial Officer Conference Call Participants Mike Halloran – Robert W. Baird Deane Dray – RBC Capital Markets Vlad Bystricky – Citigroup Nathan Jones – Stifel Joe Giordano – TD Cowen Matt Summerville – D.A.",https://seekingalpha.com/article/4685780-idex-corporation-iex-q1-2024-earnings-call-transcript
IEX,2024-04-24 09:41:10,"IDEX (IEX) Q1 Earnings Surpass Estimates, Revenues Down Y/Y",https://cdn.snapi.dev/images/v1/5/p/567-2388184.jpg,Zacks Investment Research,IDEX's (IEX) first-quarter 2024 revenues decrease 5.3% due to lower sales in the Health & Science Technologies segment.,https://www.zacks.com/stock/news/2261148/idex-iex-q1-earnings-surpass-estimates-revenues-down-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2261148
IEX,2024-04-23 19:00:21,Idex (IEX) Q1 Earnings: How Key Metrics Compare to Wall Street Estimates,https://cdn.snapi.dev/images/v1/w/2/default5-2387025.jpg,Zacks Investment Research,"The headline numbers for Idex (IEX) give insight into how the company performed in the quarter ended March 2024, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://www.zacks.com/stock/news/2260675/idex-iex-q1-earnings-how-key-metrics-compare-to-wall-street-estimates?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm-2260675
IEX,2024-04-22 13:16:18,Will Idex (IEX) Beat Estimates Again in Its Next Earnings Report?,https://cdn.snapi.dev/images/v1/p/t/default11-2383824.jpg,Zacks Investment Research,Idex (IEX) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://www.zacks.com/stock/news/2259485/will-idex-iex-beat-estimates-again-in-its-next-earnings-report?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_7-2259485
IEX,2024-04-22 10:50:21,Should You Buy IDEX (IEX) Ahead of Earnings?,https://cdn.snapi.dev/images/v1/f/s/835-2383472.jpg,Zacks Investment Research,IDEX (IEX) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,https://www.zacks.com/stock/news/2259269/should-you-buy-idex-iex-ahead-of-earnings?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|earnings_surprise-2259269
IEX,2024-04-19 12:47:18,Will Increasing Expenses Dent IDEX's (IEX) Q1 Earnings?,https://cdn.snapi.dev/images/v1/v/1/567-2381103.jpg,Zacks Investment Research,"Weakness in the HST segment, the escalating cost of sales, rising selling, general and administrative expenses and forex woes are likely to hurt IDEX's (IEX) first-quarter performance.",https://www.zacks.com/stock/news/2258632/will-increasing-expenses-dent-idex-s-iex-q1-earnings?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_preview-2258632
IEX,2024-04-18 10:21:36,Insights Into Idex (IEX) Q1: Wall Street Projections for Key Metrics,https://cdn.snapi.dev/images/v1/n/n/default1-2378479.jpg,Zacks Investment Research,Get a deeper insight into the potential performance of Idex (IEX) for the quarter ended March 2024 by going beyond Wall Street's top -and-bottom-line estimates and examining the estimates for some of its key metrics.,https://www.zacks.com/stock/news/2257543/insights-into-idex-iex-q1-wall-street-projections-for-key-metrics?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm_preview-2257543
IEX,2024-04-15 09:41:04,Reasons Why IDEX (IEX) Stock Should be in Your Portfolio,https://cdn.snapi.dev/images/v1/r/d/376-2371570.jpg,Zacks Investment Research,"IDEX (IEX) is poised to gain from solid momentum in its businesses, acquired assets and a strong liquidity position.",https://www.zacks.com/stock/news/2255052/reasons-why-idex-iex-stock-should-be-in-your-portfolio?cid=CS-STOCKNEWSAPI-FT-analyst_blog|rank_focused-2255052
IEX,2024-04-10 13:01:11,All You Need to Know About Idex (IEX) Rating Upgrade to Buy,https://cdn.snapi.dev/images/v1/h/c/default31-2365829.jpg,Zacks Investment Research,"Idex (IEX) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #2 (Buy).",https://www.zacks.com/stock/news/2253525/all-you-need-to-know-about-idex-iex-rating-upgrade-to-buy?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_12_zacks_rank_upgrade-2253525
IEX,2024-03-25 10:14:00,IDEX Corporation to Webcast First Quarter 2024 Earnings Call,https://cdn.snapi.dev/images/v1/w/q/conf13-2340027.jpg,Business Wire,"NORTHBROOK, Ill.--(BUSINESS WIRE)--IDEX Corporation (NYSE:IEX) announced today that it has scheduled the broadcast of the company's first quarter earnings conference call over the internet on Wednesday, April 24, 2024 at 9:30 a.m. CT. Chief Executive Officer and President Eric Ashleman and Senior Vice President and Chief Financial Officer Abhi Khandelwal will discuss the company's first quarter financial performance, and respond to questions from the financial community. IDEX invites interested.",https://www.businesswire.com/news/home/20240325224409/en/IDEX-Corporation-to-Webcast-First-Quarter-2024-Earnings-Call/
IEX,2024-03-15 13:11:05,Reasons to Retain IDEX (IEX) Stock in Your Portfolio Now,https://cdn.snapi.dev/images/v1/k/b/default139-2326988.jpg,Zacks Investment Research,Solid momentum in the FSDP segment and accretive acquisitions augur well for IDEX (IEX). The company's measures to reward its shareholders are encouraging.,https://www.zacks.com/stock/news/2241590/reasons-to-retain-idex-iex-stock-in-your-portfolio-now?cid=CS-STOCKNEWSAPI-FT-analyst_blog|rank_focused-2241590
IEX,2024-02-21 03:56:03,"IDEX: Inventory Improvements And End-Market Stabilization, Still A Buy",https://cdn.snapi.dev/images/v1/r/9/diversified-machinery38-2285311.jpg,Seeking Alpha,"IDEX reported a decline in its Health & Science Technologies segment by 19% year-over-year in Q4. The company has made efforts to improve inventory levels and streamline excessive inventories amassed during the pandemic. IEX is guiding for 0%-2% organic revenue growth in FY24, with some degree of end-market recovery expected.",https://seekingalpha.com/article/4671833-idex-stock-q4-inventory-improvement-end-market-stabilization-still-buy
IEX,2024-02-12 10:30:38,Here's Why Hold Strategy is Apt for IDEX (IEX) Stock Now,https://cdn.snapi.dev/images/v1/l/x/default54-2271752.jpg,Zacks Investment Research,Solid momentum in the fire and safety and Band-It businesses within the FSDP segment along with accretive acquisitions augur well for IDEX (IEX). The company's measures to reward its shareholders are encouraging.,https://www.zacks.com/stock/news/2224719/here-s-why-hold-strategy-is-apt-for-idex-iex-stock-now?cid=CS-STOCKNEWSAPI-FT-analyst_blog|rank_focused-2224719
IEX,2024-02-09 13:01:03,Idex (IEX) Upgraded to Buy: What Does It Mean for the Stock?,https://cdn.snapi.dev/images/v1/b/v/default9-2269819.jpg,Zacks Investment Research,"Idex (IEX) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #2 (Buy).",https://www.zacks.com/stock/news/2224293/idex-iex-upgraded-to-buy-what-does-it-mean-for-the-stock?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_12_zacks_rank_upgrade-2224293
IEX,2024-02-07 22:26:03,IDEX Corporation (IEX) Q4 2023 Earnings Call Transcript,https://cdn.snapi.dev/images/v1/t/r/transcript4-2266215.jpg,Seeking Alpha,IDEX Corporation (IEX) Q4 2023 Earnings Call Transcript,https://seekingalpha.com/article/4668457-idex-corporation-iex-q4-2023-earnings-call-transcript
IEX,2024-02-07 12:56:05,"IDEX (IEX) Q4 Earnings Surpass Estimates, Revenues Down Y/Y",https://cdn.snapi.dev/images/v1/j/r/51481-2265212.jpg,Zacks Investment Research,IDEX's (IEX) fourth-quarter 2023 revenues decrease 3% due to lower sales in the Health & Science Technologies segment.,https://www.zacks.com/stock/news/2222754/idex-iex-q4-earnings-surpass-estimates-revenues-down-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2222754
IEX,2024-02-07 09:26:05,4 Industrial Manufacturing Stocks to Gain From Enhanced Supply Chains,https://cdn.snapi.dev/images/v1/z/2/1276-2264587.jpg,Zacks Investment Research,"The Zacks Manufacturing - General Industrial industry rides on strength across prominent end-markets and easing supply-chain disruptions. PH, IEX, AIT and FLS are some promising stocks in the industry.",https://www.zacks.com/commentary/2222336/4-industrial-manufacturing-stocks-to-gain-from-enhanced-supply-chains?cid=CS-STOCKNEWSAPI-FT-industry_outlook-2222336
IEX,2024-02-06 20:31:04,Idex (IEX) Q4 Earnings: How Key Metrics Compare to Wall Street Estimates,https://cdn.snapi.dev/images/v1/o/7/default44-2263597.jpg,Zacks Investment Research,"The headline numbers for Idex (IEX) give insight into how the company performed in the quarter ended December 2023, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://www.zacks.com/stock/news/2222212/idex-iex-q4-earnings-how-key-metrics-compare-to-wall-street-estimates?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm-2222212
