,text,is_quote_status,view_count,has_card,urls,day,month,year,is_in_reply_to,is_view_count,1_day_after
0,"The chance of $MSFT winning an  appeal of the negative ruling from the CMA are exceedingly slim. Per UBS, the Competition Appeal Tribunal that would hear an appeal has not ruled in favor of merging parties for years. Appeal could also take a year.Getting very close to ""all dead"". https://t.co/3bGHnuM1b7  ",0,113387.0,0,0,26,4,2023,0,1,1
1,"We love and appreciate all the volunteers at the $NVDA rescue farm - today Jensen the bull is having breakfast in the $SMCI pasture - feeding him alone is quite a job In itself - yes, the lady behind him is Colette…. https://t.co/M14QxJlxwe  ",0,707.0,0,0,6,5,2024,0,1,1
2,Today walking the lab on the NJ beach - tomorrow we go back to silicon beach - the VR/AR/XR miracle embarks - $META $NVDA https://t.co/2t1C8Vf6eR  ,0,702.0,0,0,8,5,2024,0,1,1
3,Today walking the lab on the NJ beach - tomorrow we go back to silicon beach - the VR/AR/XR miracle embarks - $META $NVDA https://t.co/2t1C8Vf6eR  ,0,702.0,0,0,8,5,2024,0,1,0
4,Good Morning from a dog walk on the $NVDA rescue farm water spring - Kita captures the enthusiasm of another week in earnings season https://t.co/W6aZCJNLEm  ,0,934.0,0,0,5,5,2024,0,1,1
5,"I can't wait to cut the cord and simply subscribe to:

Netflix
Disney+
Apple TV
Prime Video
HBO Go
Starz
Showtime
Cinemax
Hulu
ESPN+
YouTube TV
Sling TV

This will finally help me reach my goal of becoming a minimalist  ",0,6255.0,0,0,25,3,2019,0,0,0
6,"$IBM is among the last quarter’s high-yielding winners.

Check out our full list of the 10 top-performing #dividendstocks of Q3 2024. https://t.co/LNuxk99HPs 10 Top-Performing Dividend Stocks of Q3 2024 dividendstocks",0,2075.0,1,1,6,10,2024,0,1,1
7,"Nvidia, $NVDA closed at its highest price EVER today. 

It is up 186% YTD. https://t.co/m1rFMgGPnt  ",0,318471.0,0,0,14,10,2024,0,1,0
8,"JUST IN: The US Biden administration is weighing capping export of chips from $AMD and Nvidia $NVDA to numerous countries, with a focus on Persian Gulf countries and the Middle East  ",0,328875.0,0,0,15,10,2024,0,1,0
9,"JUST IN: The US Biden administration is weighing capping export of chips from $AMD and Nvidia $NVDA to numerous countries, with a focus on Persian Gulf countries and the Middle East  ",0,328875.0,0,0,15,10,2024,0,1,0
10,"JUST IN: The US Biden administration is weighing capping export of chips from $AMD and Nvidia $NVDA to numerous countries, with a focus on Persian Gulf countries and the Middle East  ",0,328875.0,0,0,15,10,2024,0,1,0
11,JUST IN: Tesla $TSLA has moved $225 million of their Bitcoin to unknown wallets  ,0,441907.0,0,0,15,10,2024,0,1,1
12,"Here are the hottest bearish and bullish option chains right now in the market.

$GOOGL 
$SNOW
$DDOG
$MARA
$NVDA
$BABA
$DJT
$HOOD
$GME

Link: https://t.co/bzo7DltDVW https://t.co/kQtl30tj1y  ",0,65074.0,0,1,14,10,2024,0,1,0
13,"Here are the hottest bearish and bullish option chains right now in the market.

$GOOGL 
$SNOW
$DDOG
$MARA
$NVDA
$BABA
$DJT
$HOOD
$GME

Link: https://t.co/bzo7DltDVW https://t.co/kQtl30tj1y  ",0,65074.0,0,1,14,10,2024,0,1,1
14,"JUST IN: Nancy Pelosi's portfolio has hit a new all time high.

Pelosi has made millions this year alone.

She has made likely $3 million alone today off $NVDA $AVGO and $PANW options and many stock positions.

You can invest alongside her on Unusual Whales. https://t.co/hQjEtVuqCP  ",0,284533.0,0,0,11,10,2024,0,1,1
15,"JUST IN: Nancy Pelosi's portfolio has hit a new all time high.

Pelosi has made millions this year alone.

She has made likely $3 million alone today off $NVDA $AVGO and $PANW options and many stock positions.

You can invest alongside her on Unusual Whales. https://t.co/hQjEtVuqCP  ",0,284533.0,0,0,11,10,2024,0,1,1
16,"At close: $NVDA $AMZN $TSLA $SMCI

If you want to generate charts like this in your discord, alongside get alerts and financial data, go to https://t.co/lIDpnCxZai https://t.co/YK4ceNGNeh  ",0,78681.0,0,1,7,10,2024,0,1,1
17,"At close: $NVDA $AMZN $TSLA $SMCI

If you want to generate charts like this in your discord, alongside get alerts and financial data, go to https://t.co/lIDpnCxZai https://t.co/YK4ceNGNeh  ",0,78681.0,0,1,7,10,2024,0,1,0
18,"At close: $NVDA $AMZN $TSLA $SMCI

If you want to generate charts like this in your discord, alongside get alerts and financial data, go to https://t.co/lIDpnCxZai https://t.co/YK4ceNGNeh  ",0,78681.0,0,1,7,10,2024,0,1,0
19,"Tesla, $TSLA unveils ""Robovan"" https://t.co/2WipLfdtIE  ",0,4559190.0,0,0,11,10,2024,0,1,0
20,"There's a lot of new 52 week ALL TIME HIGHS today.

$TSM
$MA
$VTI
$MCD
$IBM
$LOW
$GS
$WFC
$TMUS

Generate images like this or get data like this using our Discord bot or from our public API! https://t.co/aQPgAzx7sd  ",0,73919.0,0,0,14,10,2024,0,1,1
21,"There's a lot of new 52 week ALL TIME HIGHS today.

$TSM
$MA
$VTI
$MCD
$IBM
$LOW
$GS
$WFC
$TMUS

Generate images like this or get data like this using our Discord bot or from our public API! https://t.co/aQPgAzx7sd  ",0,73919.0,0,0,14,10,2024,0,1,0
22,Call your Tesla $TSLA robotaxi https://t.co/9qBll4iXzF  ,0,120242.0,0,0,10,10,2024,0,1,0
23,"Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help with energy needed for AI, per WSJ  ",0,451298.0,0,0,14,10,2024,0,1,1
24,"Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help with energy needed for AI, per WSJ  ",0,451298.0,0,0,14,10,2024,0,1,1
